Question ID,Rubric Item,Meet Criterion
Q1,1,1
Q1,2,1
Q1,3,1
Q1,4,1
Q1,5,1
Q1,6,1
Q1,7,1
Q1,8,1
Q1,9,1
Q1,10,1
Q1,11,1
Q1,12,0
Q1,13,1
Q14,1,1
Q14,2,1
Q14,3,1
Q14,4,1
Q14,5,1
Q15,1,1
Q15,2,1
Q15,3,1
Q15,4,1
Q15,5,1
Q15,6,1
Q15,7,1
Q16,1,1
Q16,2,1
Q16,3,1
Q16,4,1
Q16,5,1
Q16,6,1
Q16,7,1
Q17,1,1
Q17,2,1
Q17,3,1
Q17,4,1
Q17,5,1
Q17,6,1
Q17,7,1
Q17,8,1
Q17,9,1
Q23,1,1
Q23,2,0
Q23,3,0
Q23,4,0
Q23,5,1
Q23,6,0
Q23,7,1
Q23,8,1
Q26,1,1
Q26,2,1
Q26,3,1
Q26,4,1
Q26,5,1
Q26,6,1
Q26,7,1
Q26,8,1
Q26,9,1
Q26,10,1
Q26,11,1
Q26,12,1
Q26,13,1
Q26,14,1
Q26,15,1
Q34,1,1
Q34,2,1
Q34,3,1
Q34,4,1
Q34,5,1
Q34,6,1
Q34,7,1
Q34,8,1
Q35,1,1
Q35,2,1
Q35,3,1
Q35,4,1
Q35,5,1
Q35,6,1
Q43,1,1
Q43,2,1
Q43,3,1
Q43,4,1
Q43,5,1
Q43,6,1
Q43,7,1
Q43,8,1
Q45,1,1
Q45,2,1
Q51,1,1
Q51,2,1
Q51,3,1
Q51,4,1
Q51,5,0
Q51,6,1
Q51,7,1
Q57,1,1
Q57,2,0
Q57,3,1
Q57,4,0
Q57,5,1
Q57,6,1
Q57,7,0
Q60,1,1
Q60,2,1
Q60,3,1
Q60,4,0
Q60,5,1
Q60,6,1
Q60,7,1
Q60,8,1
Q60,9,0
Q60,10,0
Q60,11,0
Q60,12,1
Q60,13,0
Q60,14,0
Q60,15,0
Q61,1,1
Q61,2,1
Q61,3,1
Q61,4,1
Q61,5,1
Q61,6,1
Q61,7,1
Q61,8,1
Q61,9,0
Q61,10,1
Q61,11,1
Q61,12,1
Q61,13,1
Q61,14,1
Q61,15,0
Q61,16,0
Q63,1,1
Q63,2,1
Q63,3,1
Q63,4,1
Q63,5,0
Q63,6,1
Q63,7,1
Q63,8,1
Q63,9,1
Q63,10,1
Q63,11,1
Q63,12,1
Q70,1,1
Q70,2,1
Q70,3,1
Q70,4,1
Q70,5,1
Q70,6,1
Q70,7,1
Q70,8,1
Q70,9,1
Q70,10,0
Q70,11,1
Q89,1,1
Q89,2,0
Q89,3,1
Q89,4,1
Q89,5,1
Q89,6,1
Q89,7,1
Q89,8,1
Q89,9,0
Q89,10,0
Q89,11,0
Q89,12,0
Q89,13,0
Q97,1,1
Q97,2,1
Q97,3,1
Q97,4,1
Q97,5,1
Q97,6,1
Q97,7,1
Q97,8,1
Q97,9,1
Q97,10,1
Q97,11,1
Q97,12,1
Q97,13,1
Q97,14,1
Q97,15,1
Q97,16,0
Q97,17,1
Q97,18,0
Q100,1,1
Q100,2,1
Q100,3,1
Q100,4,1
Q100,5,1
Q100,6,0
Q100,7,0
Q100,8,1
Q100,9,0
Q100,10,0
Q100,11,0
Q102,1,1
Q102,2,1
Q102,3,1
Q102,4,1
Q102,5,0
Q102,6,1
Q102,7,1
Q102,8,1
Q102,9,1
Q107,1,1
Q107,2,1
Q107,3,1
Q107,4,1
Q107,5,1
Q107,6,1
Q107,7,1
Q107,8,1
Q107,9,1
Q107,10,1
Q107,11,1
Q107,12,1
Q107,13,1
Q107,14,0
Q109,1,1
Q109,2,1
Q109,3,1
Q109,4,1
Q109,5,0
Q109,6,1
Q109,7,1
Q109,8,0
Q109,9,0
Q109,10,1
Q117,1,1
Q117,2,1
Q117,3,0
Q117,4,0
Q117,5,1
Q117,6,1
Q117,7,1
Q117,8,1
Q117,9,1
Q117,10,1
Q117,11,1
Q117,12,1
Q117,13,1
Q117,14,1
Q117,15,1
Q117,16,0
Q117,17,0
Q117,18,0
Q117,19,0
Q117,20,0
Q117,21,1
Q119,1,1
Q119,2,1
Q119,3,1
Q119,4,1
Q119,5,1
Q119,6,1
Q119,7,1
Q119,8,0
Q119,9,1
Q119,10,1
Q119,11,1
Q119,12,0
Q119,13,0
Q119,14,0
Q125,1,1
Q125,2,1
Q125,3,1
Q125,4,1
Q125,5,0
Q125,6,0
Q182,1,1
Q182,2,1
Q182,3,1
Q182,4,0
Q182,5,0
Q182,6,0
Q182,7,1
Q182,8,0
Q182,9,1
Q182,10,1
Q189,1,1
Q189,2,1
Q189,3,1
Q189,4,1
Q189,5,1
Q189,6,1
Q189,7,1
Q189,8,1
Q189,9,1
Q189,10,1
Q189,11,1
Q191,1,1
Q191,2,1
Q191,3,1
Q191,4,0
Q191,5,1
Q191,6,1
Q191,7,1
Q191,8,1
Q191,9,1
Q191,10,1
Q191,11,1
Q191,12,0
Q191,13,1
Q191,14,0
Q191,15,1
Q191,16,1
Q193,1,0
Q193,2,1
Q193,3,1
Q193,4,1
Q193,5,1
Q193,6,0
Q193,7,0
Q193,8,1
Q193,9,1
Q193,10,1
Q196,1,1
Q196,2,1
Q196,3,1
Q196,4,1
Q196,5,1
Q204,1,1
Q204,2,1
Q204,3,1
Q204,4,1
Q204,5,1
Q204,6,0
Q204,7,1
Q206,1,1
Q206,2,1
Q206,3,1
Q206,4,1
Q206,5,1
Q206,6,1
Q206,7,0
Q206,8,1
Q206,9,1
Q206,10,0
Q211,1,1
Q211,2,1
Q211,3,1
Q211,4,1
Q211,5,0
Q211,6,1
Q211,7,1
Q211,8,1
Q211,9,1
Q236,1,1
Q236,2,1
Q236,3,1
Q236,4,1
Q236,5,1
Q236,6,1
Q236,7,0
Q245,1,1
Q245,2,1
Q245,3,0
Q245,4,0
Q245,5,0
Q245,6,0
Q245,7,1
Q245,8,1
Q245,9,0
Q245,10,0
Q262,1,1
Q262,2,1
Q262,3,1
Q262,4,0
Q262,5,1
Q262,6,1
Q262,7,1
Q262,8,1
Q262,9,1
Q262,10,1
Q262,11,1
Q262,12,1
Q262,13,1
Q262,14,0
Q267,1,1
Q267,2,1
Q267,3,1
Q267,4,0
Q267,5,0
Q267,6,1
Q267,7,1
Q267,8,1
Q267,9,1
Q267,10,1
Q267,11,0
Q267,12,0
Q267,13,0
Q267,14,1
Q267,15,1
Q271,1,1
Q271,2,1
Q271,3,1
Q271,4,1
Q271,5,1
Q271,6,1
Q271,7,1
Q271,8,1
Q271,9,0
Q271,10,0
Q271,11,0
Q271,12,0
Q271,13,0
Q280,1,0
Q280,2,1
Q280,3,1
Q280,4,1
Q280,5,0
Q280,6,1
Q280,7,0
Q280,8,1
Q280,9,1
Q280,10,0
Q280,11,1
Q280,12,1
Q280,13,1
Q280,14,1
Q280,15,0
