ID,Fold,Question_ID,Item_ID
1,Fold2,58,6
2,Fold2,102,6
3,Fold2,113,12
4,Fold5,227,12
5,Fold5,229,11
6,Fold5,237,7
7,Fold5,239,13
8,Fold5,241,10
9,Fold5,242,4
10,Fold5,244,5
11,Fold5,252,5
12,Fold5,253,5
13,Fold5,255,12
14,Fold5,259,5
15,Fold5,264,4
16,Fold5,276,8
17,Fold5,279,12
18,Fold4,171,3
19,Fold4,173,2
20,Fold4,173,5
21,Fold4,178,5
22,Fold4,179,5
23,Fold4,180,9
24,Fold4,181,5
25,Fold4,184,6
26,Fold4,185,6
27,Fold4,187,6
28,Fold4,193,7
29,Fold4,197,6
30,Fold4,197,8
31,Fold4,197,10
32,Fold4,198,4
33,Fold4,198,10
34,Fold4,199,5
35,Fold4,202,7
36,Fold4,203,8
37,Fold4,206,7
38,Fold4,207,6
39,Fold4,212,7
40,Fold4,219,6
41,Fold4,223,3
42,Fold4,226,5
43,Fold3,116,8
44,Fold3,122,10
